Subsystem	Feature	CurrentPath	ReferencePath	CurrentStatus	ReferenceStatus	Classification	Priority	PortMethod	Risk	Dependency	ReferenceCommit	Notes
Radio	CarrierConfig and Chinese PLMN overlays	device/oneplus/sm8750-common/overlay/CarrierConfigResCommon/res/xml/vendor.xml	.501 CarrierConfigResCommon_Sys and OplusCarrierConfig overlays	China LTE threshold blocks match the stock common overlay; runtime uses AOSP NR thresholds	OPlus overlay has NR threshold tables for Japanese operators, but none in CMCC/CU/CT/CBN blocks	IDENTICAL	P0	Do not copy OPlus/IMS tables blindly; trace runtime CarrierConfig selection	MEDIUM	CarrierConfig overlay, framework SignalStrength thresholds, vendor carrier data	537192b6; .501 host audit	The stock ro.oplus.radio.lte_rsrp_thresholds property is LTE/ColorOS-specific, and IMS RTP RSRP tables are not status-bar thresholds; .501 yielded no direct Chinese NR table.
Display	LTPO user control app and adfr_config	absent; default display modes work	hardware-oplus/ltpo; OplusLtpo	No user toggle; 60/90/120 modes work	Privileged Settings app writes 0x109f/0x0	MISSING	P1	Manual port only as optional UX	HIGH	/sys/kernel/oplus_display/adfr_config, privileged system_ext app, undocumented magic value	339ec1a1	This is a ROM-specific control UI, not proof of missing panel support; do not make it a P0 hardware port.
Touch	Synaptics S3910, DT2W and touch HAL	device/oneplus/sm8750-common/touch; hardware/oplus/touch	sm8750-common/touch; hardware-oplus/touch	Touch, UDFPS touch-down and the kernel-driven fp-press event path work	Same common implementation and pagani firmware	IDENTICAL	P1	No copy	MEDIUM	S3910 HBP firmware, OplusTouch AIDL, touchdaemon	cf273d44; a3f11e00	Real touch down/up now drives the verified UDFPS path; no touch firmware or HAL replacement was needed.
Audio	Policy, volume, ACDB, mixer and effects	device/oneplus/pagani/configs/audio; common audio configs; vendor blobs	common audio configs plus reference audio proprietary additions	Audio runtime passes; generation differs	Reference carries newer audio dependency/stub assets	PARTIALLY_PORTED	P1	Manual selective port with ABI checks	HIGH	AIDL audio HAL, ACDB, mixer paths, OPrec/ADSP	2320a9b6	Do not replace working calibration wholesale; compare exact .501/.500 source and ELF dependencies.
Camera	Pagani sensors, provider, fwk_config and modules	device/oneplus/pagani/proprietary-files.txt; vendor/oneplus/pagani	kinginu .501 ODM module; pagani proprietary list	Four camera devices and basic camera pass; .501 contains all 916 camera-related declared paths	kinginu CPH2723_16.0.3.501 module has 101 ODM files, all 101 byte-hash matching PKX110 .501	PARTIALLY_PORTED	P1	Preserve current stack; expand device tests before any framework-specific port	HIGH	CamX provider, sensor tuning, VINTF, camera AON/RFI/cammidas	076bf52e7d9b88b5620f83efe7276847cb20a18c; dfe9aa41e8154fc89dc217efae564bac6c376216	The host audit confirms source inventory/provenance, not ColorOS camera framework support; do not replace a working camera stack.
Sensors	QSH multihal and pagani sensor configs	hardware/oplus/sensors; common sensors; vendor configs	hardware-oplus/sensors; common sensor configs	Sensors pass with BMI26x/AK0991x/TCS3720	Reference uses different common/SKU config generation	DIFFERENT_IMPLEMENTATION	P1	Keep pagani configs; compare only missing device-specific assets	MEDIUM	QSH wrapper, sensor DSP, calibration and OIS config	-	Common source is not proof that SKU-specific proprietary JSON can be exchanged.
NFC	NXP SN220/SN200 service and firmware	common NFC packages; pagani libnfc configs and sn220u.bin	reference common/vendor NFC assets	NFC enabled and functional	Same NXP category	IDENTICAL	P2	No copy	LOW	NXP AIDL service, libnfc config, firmware	-	No source evidence supports changing a working NFC stack.
Connectivity	Wi-Fi and Bluetooth firmware/services	pagani Peach Wi-Fi assets; common QTI BT/WLAN and base WCNSS config	zzkeier 9280681 plus .501 roam/cmcc configs	Wi-Fi works but was not split by band; normal stock script selects the already-present base config	Candidate adds two stock-proven configs and firmware directories, but does not close normal-runtime selection and has no device test	PARTIALLY_PORTED	P1	Do not port by title; first reproduce 2.4 GHz and trace the effective persist config	MEDIUM	firmware search path, init.oplus.wifi.sh, persist WCNSS config, properties, QCACLD	92806812c82f10d42ea663c1b6348c2a97294d7b	The added search directory is /odm/etc/wifi while the two configs live under /odm/vendor/etc/wifi; stock selection helpers and runtime properties must be traced.
USB	USB gadget, compositions and permissions	common.mk; hardware/oplus USB integration	same common/hardware paths	ADB/USB pass	Same composition path	IDENTICAL	P2	No copy	LOW	QTI USB gadget, compositions config, keylayout	-	No reason to import reference USB changes.
Charging	OPlus charger HAL, fast-charge config, health	common health/charger; pagani fastchg assets	reference adds/changes charger service generation	Charging passes at baseline	Reference has broader charger/gauge/wlschgd assets	PARTIALLY_PORTED	P1	Manual coherent generation port only	HIGH	ICharger AIDL, /dev/oplus_chg, fastchg configs, thermal	214397be	Working charge behavior is not justification for importing newer ICharger or firmware.
Haptics	809 effect bank and effect-stream vibrator	pagani vibrator assets; common Oplus vibrator	reference same asset category	Basic haptics work	Same effect-stream design	IDENTICAL	P2	No copy	MEDIUM	Oplus vibrator service, effect JSON, firmware	-	Do not add Oplus framework haptic APIs merely because reference has stubs.
Power	Power HAL, perf hints and thermal	pagani qtipower power-ext-oplus; common QTI powerhint.xml	pagani libperfmgr extension; common powerhint.json	Runtime stable; different ownership/generation	Reference uses older/different perf stack and tuning	DIFFERENT_IMPLEMENTATION	P1	Keep current; selective evidence-based audit	HIGH	Power HAL, qti-perfd, thermal HAL, libperfmgr, UAH	4f2f08af	Benchmark-oriented or aggressive reference hints are ROM tuning, not a required hardware adaptation.
PlusKey	GPIO keylayout and assistant/camera mapping	device/oneplus/pagani/configs/keylayout/gpio-keys.kl	pagani/configs/keylayout/gpio-keys.kl plus KeyHandler/tri-state packages	Keylayout behavior present; no confirmed PlusKey framework layer	Reference adds alert-slider/keyhandler packages	PARTIALLY_PORTED	P2	Manual only after event capture	MEDIUM	GPIO key events, KeyHandler, tri-state calibration	-	Reference packages appear alert-slider/pogo UX; do not add without PKX110 event evidence.
SELinux	Fingerprint/TEE/HBM service domains and files	device/oneplus/pagani dedicated sysfs_notify_fppress policy; common ueventd ownership; retained hardware/oplus HAL policy	zzkeier dedicated notify_fppress type/rules plus common ueventd ownership	Dedicated node label and narrow platform_app write access are built and device-verified with no relevant AVC	Reference trees supplied candidate ownership and labeling patterns	DEVICE_VERIFIED	P0	Keep the dedicated node rule; do not widen vendor_sysfs_graphics writes	MEDIUM	OplusFodShim process domain, sysfs label, init ownership/mode, HAL TEE/display	2e389d031287343f1da3761b34354fd20ec5d6b0; 62cf9629ebbbe7a9be97c20a9559fde0399e3218	platform_app receives parent search plus open/getattr/write only on sysfs_notify_fppress; no broad allow or dontaudit was added.
Framework	Reference extraPatches/frameworks_base	no current extraPatches tree; current framework is Android 16 Lineage	vendor_extraPatches/patches/frameworks_base	No reference patch integrated	Patch files are stored and vendorsetup applies them in batch	MANUAL_PORT_REQUIRED	P0	Review/rebase each patch separately	HIGH	Current framework context, SystemUI lifecycle, telephony safety	f09f2929; db252a01	Patch presence is not proof of effect; vendorsetup aborts a git am batch on failure. ICCID revert is obsolete/dangerous.
Proprietary	Pagani vendor tree and generated extraction	vendor/oneplus/pagani generated from PKX110_16.0.3.501; current list dirty	vendor-pagani HEAD from COS 11 C.58 / .500 baseline	Working .501/.401 proprietary baseline boots and functions	Reference HEAD is .500-generation and larger	DIFFERENT_IMPLEMENTATION	P1	Manual path/Soname/VINTF comparison; no wholesale copy	HIGH	Blob ABI, generated Android.mk, VINTF, partition generation	438f9c9e; b82c534b	Reference vendor checkout worktree was interrupted; committed Git objects were used. Baseline mismatch is material.
Oplus APIs	Hardware Oplus interface generation	hardware/oplus HEAD ec3b8211; current shared ownership and SM8750 display path	hardware-oplus HEAD 7cd64aa6	Current-generation OPlus ownership retained; UDFPS fixed in kernel/device/SystemUI layers	Reference uses more pagani-local addon ownership	ALREADY_BETTER	P1	Keep current; port only missing device behavior	MEDIUM	AIDL stability, FCM, current display/OFP integration	7cd64aa6	No whole-tree hardware/oplus replacement or final OplusFodShim integration was required.
Kernel	Pagani fingerprint/touch/panel/radio kernel support	kernel/oneplus/sm8750 @ 999b95d4; modules fingerprint fix @ 5b64073d; DT @ ebb25e35	LineageOS sm8750-modules lineage-23.2	Kernel boots; real touch-driven OFP press path is device-verified for enrollment and screen-on authentication	Upstream charger-state commit retained during merge	DEVICE_VERIFIED	P0	Keep the targeted OFP notifier change	HIGH	GKI KMI, modules, DTBO, firmware	5b64073d036e19647310dc6671a91e77a834190e; 3613bfa7517a83f3a36bcb4677838f97dc102cad	Only the display module changed for fingerprint; no GKI, DT, firmware or full kernel replacement was needed.
Firmware	ABL/XBL/TZ/HYP/AOP/modem/DSP and early boot	current generated .501 firmware list; historical slot A .501 rescue protected	reference vendor radio/*.img and .500 firmware list	Historical .501 baseline; no firmware write in the ARB1 EDL test	Reference has different stock generation	DO_NOT_PORT	P0	No touch in first port batches	CRITICAL	AVB, rollback indexes, modem/NV/calibration, boot chain	-	No reference firmware/blob update is safe without a confirmed hardware defect and rollback proof; slot A health was not re-tested on 2026-08-26.
EDL	ARB1 Firehose entry and bounded reads	docs/edl-arb1-device-validation-2026-08-26.md	resources/edl/arb1-sm8750/; bm16ton/oplus12r-edl	PASS: no online authorization; 6 LUNs, 12 GPT copies and 139 partition entries	Pinned native tools with local patches	DEVICE_VERIFIED	P1	Recheck session and read range	HIGH	Loader hashes, root capture, exclusive port lock, ZlpAwareHost=0 for qcserial/TTY	a6dceddd2ff74eabf0566ddbbb72e50d98826874	2026-08-26: limited reads, not a full backup; misc requires another authorized access path.
ARB	Installed xbl_config_b declared index	docs/edl-arb1-device-validation-2026-08-26.md	koaaN/arbextract; Bartixxx32/Oneplus-antirollchecker	Android and EDL full readouts match; OEM metadata 3.0 declares ARB 1	Frozen .501 payload hash matches; parser cross-checked at byte level	DEVICE_VERIFIED	P1	Read-only evidence; do not downgrade	CRITICAL	Distinguish image metadata from secure fuse/RPMB counters	320efd96ded606b6bbf9c0c9d04ceb35caba32a6	2026-08-25/26: hardware counters and ARB bypass remain NOT_TESTED; entry into Firehose is not downgrade authorization.
Recovery	EDL recovery_b replacement and complete readback	docs/edl-arb1-device-validation-2026-08-26.md	docs/local-build-audit-2026-08-25.md	PASS: final ACK, full 100 MiB readback and AVB checks	Coherent 2026-08-14 Lineage recovery, SHA256 e136fd6549526a92e2ac1c805c80d7762418448824f4e2d9ec11209dbfa9bef7	DEVICE_VERIFIED	P1	Recheck authorization, live GPT and backups	HIGH	ZlpAwareHost=0 for this TTY path, complete XML ACK parsing, two verified backups	-	2026-08-26: recovery_b only; five B boot partitions and LUN4 GPT unchanged; no A/firmware/NV/userdata write, erase or slot switch.
Recovery	Lineage Recovery boot versus full functionality	docs/edl-arb1-device-validation-2026-08-26.md	docs/twrp.md	PASS: Lineage Recovery B identity and root ADB; full functionality pending	TWRP PASS applies only to the historical environment	NEEDS_DEVICE_TEST	P1	Validate UI, touch, decryption and restore separately	HIGH	Display and data mount warnings remain	-	2026-08-26: EDL normal reset booted Android B; Android ADB reboot entered Lineage Recovery. Direct EDL recovery reboot is untested.
